date,url,title,body
2019/04/09 22:39,https://ameblo.jp/soratobsakana/entry-12453185074.html?frm=theme,2019/04/09,"こんばんは
お久しぶりです山崎愛です
かかなさすぎですねすみません

上のはなつかが撮ってくれました
私は撮りませんでしたごめん
今日は寺口なつかと遊びに行きました
前回は映画でした
今回も映画でした
短期間すぎる
最近ハマったんですけどこれがとても面白い
びっくり
絶対ハマるから遠慮していたけど
行ってしまいました
ハマりました最高
最高です
まだまだ深く知らないし
深く知っちゃいけない気がするし
でももっとハマりたいです
ありがとうなつか
おかげでお金が足りません助けて
そしてまた一緒の写真を撮りませんでした
なぜ
いつも一緒にいるからですかね
なんか当たり前、みたいな
にしても
春休みエンジョイしすぎです
まだ遊びに行く予定があります
楽しみです
それと別に今日は楽しいことがありました
また明日書こうと思います
久しぶりすぎて堅苦しくなってしまいました
楽しかったですよ伝わってください
それと
当たり前のことなんですけど
さすがに書かなさすぎなので
これから毎日書くようにしたいと思います
かけなかったらすみません
頑張ります
今日もお疲れ様でした
では"
2019/04/10 21:54,https://ameblo.jp/soratobsakana/entry-12453407056.html?frm=theme,2019/04/10,"こんばんは
昨日の話をします
昨日はハイスコアガールの打ち上げでした

これが凄いんですよ
豪華で綺麗で
あのほんと凄いんですよ
少し場違いでは？と思いつつ
超楽しんできました
なんか結婚式の二次会するようなとこ
行ったことないんで分かりませんがね
キャストさんやスタッフさんの挨拶
美味しい料理
可愛いコラボドリンク
最高ですね
そしてね
パンケーキも食べれたんですよ

正直興奮しましたねこれは
他には抽選会をしました
れいがマジで祈っていて
近い番号が呼ばれる度に叫んでいました
最高に面白いですいいね
私も金券欲しかったです
抽選とか1回も当たったことないので
お情けで金券欲しいです
当たらなくても楽しかったです
ちなみに私たちのスタッフさんと
照井さんが当選してました
勢いで当選したかったです
沢山の方に挨拶も出来て良かったです
そして本当に食事が美味しかった
サーモンはやっぱり美味しいですねハハ
では"
2019/04/11 21:39,https://ameblo.jp/soratobsakana/entry-12453633126.html?frm=theme,山崎愛,"どうも
今日の夕飯
鶏胸肉のなんちゃらだったんですけど
それが美味しかったです
名前覚えてなくてごめん母
我ご飯食べたり食べなかったり
超絶不健康食生活してるんですけど
そういうのやめた方がいいと思います
あと好き嫌いで決めちゃうとかね
そんなん最悪じゃないですか
最悪ですよ我
ご飯はちゃんと食べた方がいいと思います
でも食べるのめんどくさいなって
思ってしまうんですよね
良くないと思います
もう食べさせて欲しいです赤ちゃんなので
いやまあ自分で食べるんですけどね
当たり前なんですけどねはは
いやどんなブログだよ"
2019/04/12 21:49,https://ameblo.jp/soratobsakana/entry-12453862877.html?frm=theme,山崎愛,"こんばんは
我
全然食べない時期と爆食期が交互に来るのですが
爆食期今日からです
朝2皿たべて
10時くらいに母とラーメン食べました

安定の豚骨です
ここでは白頼みました
味玉おかわりです
ラーメンマジでうまいです
最高です
でもなぜかふたりで
母は感想をめちゃめちゃ言ってきます
最近母と2人で行動することが増えた気がします
なぜ
それは置いといて
その後にお腹すいたので
セブンの揚げ鶏をひとつ
うわ～～～～～～
夕方の絶妙な時間に買いました
超美味しかったです
コンビニで食べ物買うと
なんか楽しくなってしまいます
なぜなんでしょうか
そしてチョコクロワッサンを頂きました
うまいです
ちょこちょこ挟むの大好きです
パリパリのクロワッサンて
本当に美味しいですよね分かります
あと夕飯が肉じゃがでした
なるほどこれが肉じゃがかと思いました
２回おかわりしました
毎日これでいいと思います
今度から好きな食べ物は
 
肉じゃがにしようかなって思いました
絶対忘れますけどね
それと
じゃがいもは好きですけど
それよりも肉としらたきがすきなので
じゃがいもばっかり残ってしまいました
父へ
じゃがいも残ったので食べてください"
2019/04/13 22:10,https://ameblo.jp/soratobsakana/entry-12454092084.html?frm=theme,山崎愛,"こんばんは

今大阪にいます
明日までいます
今日もライブでした
ありがとうございました
大阪に来るのはいつぶりでしょうか
久しぶりな気がします
しかも今回はお泊まりです
1人部屋です
無理すぎる
いや嬉しいんですけどね
寝てる間は1人でいいんですけど
部屋入る時くらいじゃないですか
それ我嫌なんですよねはは
そしてお好み焼き？食べました
こなもんすきです
好きな食べ物こなもんです
美味しい
世界レベル
最高です
また明日大阪で
よろしくお願いします
短いですかここらへんで
では"
2019/04/14 22:23,https://ameblo.jp/soratobsakana/entry-12454332110.html?frm=theme,山崎愛,"どうも
https://youtu.be/_uYTSn6Pyak今日大阪から帰宅します2日間ありがとうございました今日はリリイベだったのですが会場が思ってた以上に広くて壁がなかなか凄かったですたくさんの人のサインの中に私達も書かせていただきましたとても好きな雰囲気なのでぜひまた行きたいです大阪行かせてくださいそして今日も美味しいもの食べれました美味しいです最高ですたこ焼きと名前は忘れてしまいましたが液体につけてたべるたこ焼きみたいなのを食べましたそれとお惣菜クレープとタピオカ朝マックです朝マックのハッシュポテト？を初めて食べましたそもそも朝マック自体あまりしたことありません朝起きれてよかったです最近クレープはお惣菜を選んでしまいます甘いのも好きですがお惣菜クレープのツナのうまさはハンパないですそして夕飯は駅弁でした私はうなぎの蒲焼と牛すき焼き弁当ですうなぎ食べれてよかったですありがとうございました今度は観光とユニバ行きたいですhttps://youtu.be/_uYTSn6Pyakでは"
2019/04/15 22:47,https://ameblo.jp/soratobsakana/entry-12454574400.html?frm=theme,山崎愛,"どうも
ふとTwitterの検索履歴見たら

めちゃめちゃ疲れてそうだなって思いました
思わずスクショしてしまいました
疲れてるっていうか癒しが必要そうです
必要なものが明確に現れてていいと思います
我は猫派なのですが
猫を飼っていません
亀をかっています
正直いうとどちゃクソ可愛いです
でもさわれるときがかぎられていて
甲羅は硬いし
まだ懐かれていない気がします
父より私の手の方が柔らかいと思いますけど
もっと触らせてほしいです
大丈夫加減はするので
お願いだからお願いです
そして
ねこをかいたいです
夢はネコチャンのお腹を吸うこと
もふもふしたいです
匂い嗅ぎたいです
それでめちゃめちゃ動画または写真を撮りたいです
フォルダを埋めつくしたいです
ネコチャンと触れ合いたい
#ネコチャンと繋がりたい"
2019/04/16 20:56,https://ameblo.jp/soratobsakana/entry-12454776153.html?frm=theme,山崎愛,"どうも

前髪がのびてきました
長くなってきました
めちゃめちゃ邪魔です
目がかゆくなります
最悪です
いつも母に前髪を切ってもらうのですが
母は私の前髪が短いことが嫌だそうです
いやそれこそ私が嫌なんですけど
母がきってくれているので
切ってくれるまで待つしかありません
でも私短気なのでそんな待てません
なので前に自分で切ったことがあります
最悪でした
ガタガタでした
でも短くなって満足でした
どっちなのって感じですけど
そしたら母がびっくりしながら切り直してくれました
そうしてくれるなら最初から切って欲しいです
私わがままなので
頼みます
今回はいつ切ってくれるのでしょうか
では"
2019/04/17 22:02,https://ameblo.jp/soratobsakana/entry-12455026860.html?frm=theme,山崎愛,"どうも

なつかと一瞬あってバイバイしました
話は変わります
最近着物？で歩いてる方を見かけたんです
めっちゃめちゃ良いと思います
ときめきを感じました
私あまり和装はしないのですが
普段着として和装をしている人を見ると
とても憧れます
和洋折衷というか
着物に帽子とか手袋とか
最高に好きです
昔のものを大事にしてる人好きです
私も時間があれば着てみたいです
でもどうやって保管するのでしょうか
洋服しか持っていなのいのでわかりません
まあそういうのは着る時にわかるでしょう多分
着物きて京都いきたいです
最高に楽しそうじゃないですか
でも動くのに慣れが必要そうですね
そういうのも考慮されてたりするのでしょうか
最近は色々凄いですもんね
そういうおしゃれはしてみたいです
低身長でも似合うのかなあ"
2019/04/18 23:34,https://ameblo.jp/soratobsakana/entry-12455277745.html?frm=theme,山崎愛,"こんばんは

あっぶないです
ブログ書くの忘れるところでした
一応続けられてますかね
内容ペラッペラですけどね
まあ許してくださいねへけっ
今日弟がテレビみてたら
聞いたことある声が聞こえて
見たらシロップでした
プリキュア5GOGOやってたんです
へあー知りませんでした
懐かしいです
最近昔好きだったものが再熱してます
本当に楽しいです
ちょっと前からプリキュア再熱しててですね
去年くらいからホーム画面をココナツにしてあるんです
あの超キュートなツーショットなんですけど
多分言っても分からないと思うので
あんまり言いませんね
我はナッツがめちゃ好きなんですけど
ミルキーローズもすきです
推しメンはナッツとミルクです
でもシロップも相当好きです
ロリよりショタ派なので
なんであんなに可愛いのでしょうか
我のプリキュアグッズもうないみたいです
悲しすぎます
ローズパクトまた欲しいです
世代は5と5GOGOです
あとフレッシュとハートキャッチも好きでした見てました
よろしくお願いします"
